customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_contract,account_paperlessbilling,account_paymentmethod,total_day,account_charges_monthly,account_charges_total
2587-ynles,False,female,0,True,True,6,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,mailed check,0.56,20.1,100.35
2589-aycrp,False,female,0,False,False,50,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,bank transfer (automatic),0.66,19.75,989.05
2592-hodov,False,male,0,False,False,13,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,credit card (automatic),0.67,19.3,259.65
2592-seifq,True,male,0,False,False,3,False,no phone service,dsl,no,no,no,no,no,no,month-to-month,False,electronic check,0.74,24.75,66.95
2592-ykdif,False,female,0,False,False,1,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.68,20.35,20.35
2595-kiwpv,False,male,0,False,True,27,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,credit card (automatic),0.63,19.7,509.3
2599-cipqe,False,male,0,True,True,71,True,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,False,credit card (automatic),3.65,109.3,7782.85
2599-czabp,False,male,0,True,False,14,True,no,dsl,no,no,no,no,no,no,one year,False,electronic check,1.53,44.6,641.25
2603-hvkcg,False,male,0,False,False,31,True,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,True,electronic check,3.38,101.4,3143.65
2604-ijpdu,False,female,0,True,False,20,True,no,fiber optic,yes,yes,no,yes,yes,no,month-to-month,True,electronic check,3.17,96.55,1901.65
2604-xvdam,False,female,0,False,False,12,True,no,dsl,no,no,no,no,no,no,month-to-month,False,bank transfer (automatic),1.5,43.8,540.95
2606-pkwjb,False,male,0,False,True,40,False,no phone service,dsl,yes,yes,no,yes,no,no,one year,False,mailed check,1.3,40.25,1564.05
2606-rmdhz,True,male,0,False,False,6,False,no phone service,dsl,no,yes,no,no,no,no,month-to-month,True,credit card (automatic),1.16,30.5,208.7
2607-dhdak,False,male,0,True,True,72,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,credit card (automatic),0.65,19.8,1414.65
2607-fbdff,False,male,0,False,False,1,True,no,dsl,no,no,no,yes,no,no,month-to-month,False,credit card (automatic),1.63,49.0,49.0
2608-bhkfn,True,female,0,False,False,4,True,no,fiber optic,no,no,no,no,no,no,month-to-month,True,credit card (automatic),2.22,70.05,266.9
2609-iaicy,True,female,0,False,False,1,True,yes,fiber optic,no,no,no,no,no,no,month-to-month,True,electronic check,2.57,77.15,77.15
2612-phgox,False,male,0,True,False,64,True,yes,dsl,no,yes,yes,yes,yes,no,two year,True,bank transfer (automatic),2.51,76.1,4818.8
2612-ranwt,True,female,0,False,False,12,True,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,True,bank transfer (automatic),3.23,100.15,1164.3
2612-rridn,True,male,0,False,False,4,True,no,fiber optic,no,no,no,no,yes,no,month-to-month,True,electronic check,2.84,81.0,340.85
2615-yvmyx,False,male,1,True,False,71,True,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,True,electronic check,3.62,107.5,7713.55
2616-flvqc,False,male,0,False,False,64,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,mailed check,0.65,19.55,1240.15
2616-uutfk,False,male,0,True,False,33,True,yes,dsl,yes,yes,yes,no,yes,no,month-to-month,True,bank transfer (automatic),2.47,72.75,2447.45
2619-wfqwu,True,female,0,False,False,1,True,no,fiber optic,no,no,no,no,no,no,month-to-month,True,mailed check,2.34,70.15,70.15
2621-udnlu,False,female,0,True,False,3,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.8,20.85,72.0
2623-dryam,False,female,0,True,False,70,True,yes,fiber optic,no,no,yes,no,yes,yes,one year,True,electronic check,3.37,101.75,7069.3
2625-trczq,False,female,0,True,False,51,False,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,True,electronic check,1.67,49.65,2553.35
2626-urjfx,True,male,0,True,True,4,True,yes,dsl,no,no,no,no,no,no,month-to-month,True,electronic check,1.88,50.9,225.6
2626-veewg,False,male,0,True,True,67,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,credit card (automatic),0.64,19.4,1284.2
2632-ivxvf,False,female,0,True,True,68,True,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,False,credit card (automatic),3.68,111.75,7511.3
2632-tacxw,False,female,0,True,False,62,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,bank transfer (automatic),0.76,23.65,1416.75
2632-ucgvd,True,male,1,True,False,66,True,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,True,credit card (automatic),3.47,100.05,6871.9
2634-hczgt,True,male,1,True,False,53,True,yes,dsl,yes,no,no,yes,no,no,one year,True,electronic check,2.03,60.05,3229.65
2636-alxxz,True,female,1,False,False,1,True,no,fiber optic,no,no,no,no,no,no,month-to-month,True,electronic check,2.32,69.6,69.6
2636-ohfmn,True,male,0,True,False,4,False,no phone service,dsl,no,yes,no,no,yes,yes,month-to-month,True,electronic check,1.68,48.55,201.0
2636-sjdou,False,male,0,False,False,64,True,yes,fiber optic,yes,yes,no,no,no,no,one year,True,credit card (automatic),2.75,84.3,5289.05
2637-fkfsy,False,female,0,True,False,3,True,no,dsl,no,no,no,no,no,no,month-to-month,True,mailed check,1.45,46.1,130.15
2639-ugmaz,False,male,1,False,False,71,False,no phone service,dsl,yes,yes,no,no,yes,yes,one year,True,electronic check,1.87,56.45,3985.35
2640-lymov,False,male,0,False,False,2,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,mailed check,0.65,19.65,38.8
2640-pmgfl,True,male,0,False,True,27,True,yes,fiber optic,no,no,no,yes,no,no,month-to-month,True,electronic check,2.69,79.5,2180.55
2642-dtvco,True,male,1,False,False,9,True,yes,fiber optic,no,no,no,no,no,yes,month-to-month,True,electronic check,2.76,85.05,746.5
2642-mawlj,False,female,0,True,True,36,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,bank transfer (automatic),0.66,20.25,717.95
2645-qtlmb,True,male,0,False,False,7,True,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,True,electronic check,3.19,94.25,669.0
2649-hwlyb,False,male,0,True,False,65,True,yes,dsl,yes,no,yes,yes,no,yes,two year,False,bank transfer (automatic),2.53,76.15,4929.55
2650-gyryl,False,male,0,True,True,33,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,bank transfer (automatic),0.61,19.45,600.25
2651-zcbxv,False,male,0,False,False,54,True,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,True,credit card (automatic),3.56,108.0,5760.65
2654-vbvpb,False,female,0,False,False,1,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,bank transfer (automatic),0.66,19.9,19.9
2656-fmokz,True,female,1,False,False,15,True,yes,fiber optic,no,no,no,no,no,no,month-to-month,True,mailed check,2.55,74.45,1145.7
2656-tabeh,True,male,0,True,False,4,True,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,True,electronic check,3.5,100.2,420.2
2657-almwy,True,female,1,True,False,26,True,no,fiber optic,no,yes,no,no,no,yes,month-to-month,False,electronic check,2.78,84.95,2169.75
2657-vpxta,False,female,0,True,True,10,True,no,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,3.1,88.85,929.45
2659-vxmwz,True,male,0,True,True,67,True,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,True,electronic check,3.72,111.3,7482.1
2660-emubi,True,male,1,False,False,10,True,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,2.99,95.35,898.35
2661-gkbtk,False,male,0,True,True,60,True,no,dsl,no,yes,no,yes,yes,yes,two year,False,bank transfer (automatic),2.52,76.95,4543.95
2662-nntdk,False,male,0,False,False,65,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,credit card (automatic),0.82,24.8,1600.95
2664-xjzno,False,male,0,True,True,72,True,no,fiber optic,yes,no,yes,yes,yes,yes,two year,True,credit card (automatic),3.5,104.9,7559.55
2665-nptgl,False,female,1,True,False,26,True,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,True,bank transfer (automatic),3.22,98.1,2510.7
2667-wylwj,True,female,0,True,True,8,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,mailed check,0.6,19.75,145.0
2668-tzsps,False,male,0,False,False,1,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.68,20.45,20.45
2669-oidsd,False,female,0,True,False,48,True,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,True,credit card (automatic),3.36,100.05,4834.0
2669-qvcrg,False,female,0,False,False,41,True,yes,fiber optic,yes,no,no,no,no,no,month-to-month,True,credit card (automatic),2.59,81.3,3190.65
2672-dzuoy,True,male,0,False,False,1,False,no phone service,dsl,no,no,no,no,no,no,month-to-month,True,electronic check,0.84,25.15,25.15
2672-huyvi,True,female,0,False,False,6,True,no,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,2.53,91.1,455.3
2672-ojqzp,False,female,0,False,False,1,True,no,dsl,no,no,no,no,no,no,month-to-month,False,mailed check,1.49,44.75,44.75
2672-tgeff,False,female,0,True,True,37,True,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,True,electronic check,3.01,88.8,3340.55
2673-cxqeu,False,female,1,False,False,56,True,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,False,electronic check,3.65,110.5,6139.5
2673-zalnp,False,female,0,False,False,7,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,mailed check,0.82,19.9,173.15
2674-miaht,False,female,0,False,False,4,True,yes,fiber optic,no,yes,no,no,no,no,month-to-month,True,mailed check,2.7,80.3,324.2
2674-mlxmn,False,female,1,False,False,71,True,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,True,credit card (automatic),3.26,99.65,6951.15
2675-dhutr,False,male,1,True,False,58,True,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,True,electronic check,3.32,98.9,5780.7
2675-ijrgj,False,male,0,False,False,53,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,bank transfer (automatic),0.62,19.65,978.0
2675-otvvj,False,male,1,True,False,31,True,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,False,electronic check,3.02,89.45,2807.65
2676-ishsf,False,male,0,False,False,1,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.68,20.3,20.3
2676-oxppq,False,male,0,False,False,6,True,no,dsl,yes,yes,no,no,no,no,month-to-month,True,bank transfer (automatic),1.86,55.7,335.65
2676-sslto,False,male,0,False,False,49,True,yes,dsl,no,no,no,yes,yes,no,two year,True,bank transfer (automatic),2.18,66.15,3199.0
2680-xkknj,False,female,0,False,False,8,True,no,dsl,yes,yes,no,yes,no,no,one year,False,bank transfer (automatic),1.96,58.2,469.25
2682-kevrp,False,female,1,False,False,22,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,mailed check,0.63,20.05,417.0
2683-bpjso,True,male,0,True,False,29,True,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,True,electronic check,2.84,84.45,2467.1
2683-jxwqq,False,male,0,True,True,61,False,no phone service,dsl,yes,no,yes,no,no,no,month-to-month,False,bank transfer (automatic),1.16,33.6,2117.2
2684-eiweo,True,female,1,False,False,30,True,yes,fiber optic,yes,yes,yes,no,no,no,month-to-month,False,credit card (automatic),3.06,91.7,2758.15
2685-sreom,True,female,0,True,True,25,True,yes,fiber optic,no,no,yes,no,no,yes,month-to-month,True,electronic check,3.16,89.1,2368.4
2688-bhgog,False,male,1,False,False,9,True,no,fiber optic,no,no,no,no,no,yes,month-to-month,True,electronic check,2.66,79.55,718.55
2690-dvrvk,False,male,0,True,True,5,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,electronic check,0.66,20.55,99.45
2691-nzetq,True,male,0,False,False,9,True,yes,fiber optic,no,no,no,no,yes,no,month-to-month,True,electronic check,2.81,85.35,758.6
2692-aqcpf,False,female,0,True,False,65,True,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,True,credit card (automatic),3.65,108.05,7118.9
2692-bucfv,False,male,1,False,False,29,True,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,True,bank transfer (automatic),3.39,101.45,2948.6
2692-pfytj,False,female,0,False,False,1,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,mailed check,0.86,25.75,25.75
2694-ciumo,False,female,0,False,False,12,True,yes,fiber optic,no,no,no,yes,no,no,month-to-month,True,credit card (automatic),2.66,79.55,958.25
2696-ecxkc,False,female,0,True,True,55,True,yes,fiber optic,yes,no,no,no,yes,yes,one year,False,mailed check,3.3,100.9,5448.6
2696-nartr,True,male,0,False,False,11,True,no,fiber optic,no,no,no,yes,no,no,month-to-month,True,electronic check,2.81,73.85,926.25
2696-rzvzw,False,male,0,True,False,68,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,credit card (automatic),0.8,25.05,1629.2
2697-nqbpf,False,male,0,False,False,34,True,yes,fiber optic,no,yes,no,yes,yes,yes,month-to-month,True,electronic check,3.47,105.35,3540.65
2700-lueva,False,male,0,False,False,1,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,credit card (automatic),0.69,20.75,20.75
2703-amtul,False,male,0,True,True,36,True,no,dsl,yes,yes,no,no,no,no,one year,False,mailed check,1.8,53.65,1939.35
2706-qzihy,False,female,0,True,False,15,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,mailed check,0.86,25.2,387.9
2709-uqgnp,False,male,0,False,False,10,True,no,dsl,yes,no,no,no,no,no,month-to-month,True,mailed check,1.75,51.65,524.5
2710-wyvxg,False,female,0,False,False,3,True,no,dsl,yes,yes,no,yes,no,yes,two year,False,mailed check,2.37,71.1,213.35
2712-syway,False,female,0,False,False,1,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,electronic check,0.86,25.7,25.7
2716-gfzor,False,male,0,True,False,43,True,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,True,credit card (automatic),2.75,86.1,3551.65
2717-hvizy,False,female,0,False,True,8,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.68,20.05,163.6
2718-gaxqd,True,female,1,True,True,4,True,no,dsl,no,no,no,no,no,no,month-to-month,False,electronic check,1.51,46.0,181.6
2718-yskcs,False,male,0,True,True,71,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,bank transfer (automatic),0.65,19.6,1387.45
2719-bdaqo,True,male,0,False,False,17,True,no,fiber optic,yes,no,no,no,yes,yes,month-to-month,False,electronic check,3.19,93.85,1625.65
2720-fvbqp,False,female,0,True,True,6,True,yes,dsl,no,no,no,no,no,no,month-to-month,True,credit card (automatic),1.52,48.95,273.25
2720-wgkhp,True,male,1,False,False,2,True,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,3.03,94.0,181.7
2722-jmoni,True,female,1,True,False,1,True,no,dsl,yes,no,no,no,no,no,month-to-month,True,electronic check,1.65,49.55,49.55
2722-vojql,True,male,0,False,False,64,True,yes,fiber optic,no,yes,no,yes,yes,yes,one year,True,credit card (automatic),3.6,105.65,6903.1
2724-fjdyw,False,male,0,False,True,39,False,no phone service,dsl,no,no,yes,yes,yes,yes,one year,False,bank transfer (automatic),1.87,54.85,2191.7
2725-iwwba,False,male,0,True,True,46,True,no,dsl,yes,no,yes,yes,no,no,one year,False,mailed check,1.86,56.9,2560.1
2725-kxxwt,True,male,0,True,False,1,True,no,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,3.02,90.75,90.75
2725-ttriq,False,female,0,True,True,72,True,yes,dsl,yes,no,yes,yes,yes,yes,two year,True,bank transfer (automatic),2.77,84.2,5986.55
2729-vnvap,False,female,0,True,True,33,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,credit card (automatic),0.65,19.8,641.35
2731-gjrdg,False,female,0,False,False,32,True,yes,fiber optic,yes,no,yes,yes,yes,yes,one year,True,bank transfer (automatic),3.76,109.55,3608.0
2732-isezx,False,female,0,False,False,5,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,mailed check,0.7,20.5,104.3
2737-wfvyw,True,female,0,False,False,2,False,no phone service,dsl,no,no,no,no,yes,yes,month-to-month,True,electronic check,1.42,45.25,85.5
2737-yngyw,True,female,0,False,False,2,True,no,fiber optic,no,no,no,no,no,yes,month-to-month,False,electronic check,3.07,80.55,184.1
2739-cacdq,False,female,1,False,False,17,True,yes,fiber optic,no,no,yes,no,no,no,month-to-month,True,credit card (automatic),2.88,82.65,1470.05
2739-cczmb,False,male,0,False,True,5,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,credit card (automatic),0.81,20.35,122.0
2740-jfbok,False,male,0,False,False,10,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,electronic check,0.76,24.0,226.55
2740-tvlfn,False,male,0,False,False,1,True,yes,dsl,no,no,no,no,no,no,month-to-month,True,electronic check,1.67,50.15,50.15
2746-dijlo,False,female,0,False,False,41,True,yes,dsl,no,yes,no,no,no,no,one year,True,credit card (automatic),1.92,56.3,2364.0
2748-myrvk,True,female,0,False,False,63,True,yes,fiber optic,no,yes,no,no,yes,yes,one year,False,bank transfer (automatic),3.25,99.9,6137.0
2749-ctkaj,False,male,0,True,True,22,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,mailed check,0.64,20.15,419.9
2750-bjlsb,False,female,0,False,False,47,True,no,fiber optic,yes,no,yes,yes,yes,yes,one year,True,electronic check,3.36,103.7,4730.6
2753-jmmcv,False,male,0,False,False,65,True,yes,dsl,no,yes,yes,yes,no,yes,two year,True,credit card (automatic),2.46,74.2,4805.65
2754-sdjrd,False,female,1,False,False,8,True,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,True,credit card (automatic),3.79,100.15,908.55
2754-vdltr,True,male,0,False,True,10,True,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,False,electronic check,3.1,95.2,930.4
2754-xbhtb,True,female,0,False,False,9,True,no,fiber optic,no,no,no,no,yes,no,month-to-month,True,bank transfer (automatic),2.64,77.65,714.15
2758-rnwxs,False,male,0,False,False,35,True,no,fiber optic,yes,no,no,yes,no,yes,one year,True,electronic check,3.1,89.2,3251.3
2761-ociax,True,male,1,False,False,2,True,no,fiber optic,no,yes,no,no,no,no,month-to-month,True,electronic check,2.76,74.7,165.4
2761-xecqw,False,male,1,True,False,8,False,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,True,mailed check,1.55,43.35,371.4
2770-nsvdg,False,male,0,True,False,24,False,no phone service,dsl,no,no,yes,no,no,no,month-to-month,False,electronic check,0.96,29.1,688.0
2773-madbq,False,female,0,False,False,36,False,no phone service,dsl,yes,yes,yes,yes,no,yes,two year,True,mailed check,1.76,53.1,1901.25
2773-ovbpk,False,male,0,True,False,67,True,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,True,bank transfer (automatic),3.76,111.3,7567.2
2774-lvqus,True,female,1,True,False,15,True,yes,fiber optic,no,no,yes,yes,no,no,month-to-month,True,electronic check,2.8,83.05,1258.3
2777-phdei,True,female,0,False,False,1,True,no,fiber optic,no,no,no,no,yes,no,month-to-month,False,electronic check,2.6,78.05,78.05
2778-oclgr,True,male,1,True,False,24,False,no phone service,dsl,yes,no,no,no,no,yes,month-to-month,False,bank transfer (automatic),1.35,39.1,971.3
2782-jeebu,False,male,0,False,False,21,False,no phone service,dsl,no,yes,no,yes,no,no,month-to-month,True,mailed check,1.24,36.0,780.15
2782-lfzvw,False,female,0,False,False,11,True,yes,dsl,no,no,no,no,no,yes,month-to-month,True,mailed check,1.82,58.95,601.6
2786-gcdpi,False,female,1,False,False,50,True,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,True,electronic check,3.48,104.95,5222.35
2788-cjqaq,False,male,0,False,False,13,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,mailed check,0.69,19.45,270.2
2789-czanw,False,female,0,True,True,64,True,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,False,bank transfer (automatic),3.64,110.3,6997.3
2789-hqbou,False,male,0,False,False,3,True,no,fiber optic,no,no,no,no,no,yes,month-to-month,True,electronic check,2.82,80.35,253.8
2790-xuymv,False,male,0,False,True,71,True,yes,fiber optic,yes,yes,no,no,no,no,one year,True,credit card (automatic),2.83,85.45,6028.95
2791-sfvew,False,female,0,False,False,9,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,bank transfer (automatic),0.88,20.15,238.15
2792-lshwx,False,female,0,False,False,1,True,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,True,mailed check,2.78,83.4,83.4
2792-vppet,False,male,0,False,False,3,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,True,electronic check,0.86,20.5,76.95
2794-ximmo,True,male,0,True,False,53,False,no phone service,dsl,no,yes,yes,yes,yes,yes,one year,True,electronic check,2.0,60.45,3184.25
2796-nnufi,False,female,0,True,True,46,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,mailed check,0.67,19.95,927.1
2796-uuzzo,False,male,0,True,True,63,True,no,fiber optic,no,yes,yes,no,no,no,month-to-month,True,credit card (automatic),2.59,80.3,4896.35
2798-nylmz,False,male,0,True,False,71,True,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,True,credit card (automatic),3.58,108.55,7616.0
2799-arnlo,False,female,1,True,False,5,True,no,fiber optic,no,no,no,no,no,no,month-to-month,True,electronic check,2.28,69.35,341.6
2799-tslag,False,female,0,True,True,65,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,True,bank transfer (automatic),0.9,25.3,1748.55
2800-qquso,False,male,0,False,False,42,True,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,True,electronic check,3.35,100.3,4222.95
2800-veqxm,False,female,0,False,False,3,True,no,fiber optic,no,no,yes,no,no,no,month-to-month,True,mailed check,2.65,74.75,238.1
2801-nisei,False,male,0,False,False,24,True,no,dsl,yes,no,no,yes,no,no,month-to-month,False,electronic check,1.87,54.95,1348.5
2804-etqdk,False,male,0,False,True,66,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,mailed check,0.69,20.55,1357.1
2805-aufqn,False,female,0,False,False,25,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,credit card (automatic),0.63,19.8,475.2
2805-edjpq,False,female,0,True,True,56,True,yes,fiber optic,no,yes,yes,yes,no,yes,one year,True,credit card (automatic),3.34,99.75,5608.4
2806-mlnti,False,male,1,True,False,52,True,yes,fiber optic,no,yes,yes,no,yes,yes,one year,True,bank transfer (automatic),3.45,105.1,5376.4
2808-chtdm,False,female,0,True,True,23,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,mailed check,0.89,25.1,611.45
2809-ilcyt,False,female,0,True,False,25,True,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,mailed check,0.98,26.8,733.55
2809-zmyoq,False,female,0,False,False,32,True,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,True,electronic check,3.47,101.35,3334.9
2810-ftlem,True,female,0,False,False,16,True,no,dsl,yes,no,no,no,no,no,month-to-month,True,electronic check,1.59,50.15,762.25
2811-povex,False,female,1,True,True,23,True,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,True,bank transfer (automatic),3.09,88.45,2130.55
2812-enymo,False,male,0,False,False,26,False,no phone service,dsl,yes,no,no,yes,yes,yes,one year,False,credit card (automatic),1.75,54.55,1362.85
2812-reyat,False,female,0,True,False,49,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,bank transfer (automatic),0.63,20.05,923.1
2812-sfxmj,False,male,0,False,True,1,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,mailed check,0.67,20.05,20.05
2815-cptul,True,male,1,False,False,5,True,no,fiber optic,no,no,no,no,no,no,month-to-month,True,mailed check,2.21,70.25,331.9
2817-lvcpp,False,female,0,False,False,50,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,False,credit card (automatic),0.68,19.4,1023.95
2817-ntqdo,True,male,0,False,False,13,False,no phone service,dsl,yes,no,no,yes,yes,no,month-to-month,True,credit card (automatic),1.53,45.55,597.0
2819-gweni,False,female,0,True,True,28,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,mailed check,0.65,19.9,543.0
2821-warnz,False,female,0,False,True,49,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,False,credit card (automatic),0.63,19.45,921.3
2823-lkabh,False,female,0,False,False,18,True,yes,fiber optic,no,no,yes,yes,no,yes,month-to-month,True,bank transfer (automatic),3.11,95.05,1679.4
2824-dxnkn,False,female,0,True,True,72,True,yes,dsl,yes,no,yes,no,yes,no,two year,True,bank transfer (automatic),2.33,71.45,5025.85
2824-myybn,False,female,0,True,True,37,True,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,True,electronic check,2.99,95.25,3314.15
2826-dxlqo,False,male,1,True,False,7,False,no phone service,dsl,yes,no,no,no,no,no,month-to-month,False,bank transfer (automatic),1.05,29.8,220.45
2826-uwhis,False,male,0,True,False,45,True,yes,fiber optic,no,yes,no,no,no,no,month-to-month,False,bank transfer (automatic),2.8,81.4,3775.85
2828-slqpf,False,male,0,False,False,19,True,no,dsl,no,no,no,no,no,no,month-to-month,True,bank transfer (automatic),1.52,45.0,865.85
2829-hyvzp,False,male,0,False,False,29,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,True,mailed check,0.66,19.8,572.2
2830-lewoa,False,male,0,True,True,61,True,no,fiber optic,no,yes,yes,yes,yes,yes,one year,False,credit card (automatic),3.52,103.9,6449.15
2831-ebwrn,False,male,0,False,False,4,True,no,dsl,no,no,no,no,no,no,month-to-month,True,electronic check,1.66,45.9,199.75
2832-kjcrd,False,female,0,False,False,38,True,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,True,electronic check,3.5,103.65,3988.5
2832-scuco,False,female,0,False,False,2,True,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,False,electronic check,0.96,19.9,57.4
2833-slkdq,True,male,0,False,False,1,True,no,dsl,no,no,no,no,no,no,month-to-month,False,mailed check,1.5,45.05,45.05
2834-jkoow,False,female,0,False,False,15,False,no phone service,dsl,yes,yes,yes,yes,no,no,one year,False,mailed check,1.54,45.9,693.45
2834-jrtua,True,male,0,False,False,71,True,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,True,electronic check,3.54,108.05,7532.15
